train_loss,train_accu,val_loss,val_accu,filter1_size,kernel1_size,num_conv_layers,build_minutes
0.0031,0.9999,0.0361,0.9905,64.0,"(5, 5)",1,8.87902402083079
0.0058,0.9996,0.0347,0.9911,32.0,"(5, 5)",1,4.789623089631399
0.0077,0.9997,0.0368,0.9895,16.0,"(5, 5)",1,3.4735442996025085
0.0033,0.9998,0.0263,0.993,64.0,"(3, 3)",1,6.649201210339864
0.004,0.9998,0.0288,0.9924,32.0,"(3, 3)",1,4.994755025704702
0.0081,0.9998,0.0299,0.9933,16.0,"(3, 3)",1,2.4128706574440004
0.0824,0.9823,0.1419,0.9705,64.0,"(1, 1)",1,6.837631213665008
0.1238,0.9722,0.1747,0.9559,32.0,"(1, 1)",1,3.75427002509435
0.1947,0.9533,0.2762,0.9194,16.0,"(1, 1)",1,2.0648608366648356
0.0596,0.9861,0.087,0.9832,64.0,"(5, 5)",2,13.014804848035176
0.0399,0.9916,0.0503,0.9895,32.0,"(5, 5)",2,6.568451984723409
0.0765,0.9818,0.089,0.9816,16.0,"(5, 5)",2,5.837664882342021
0.0105,0.9987,0.0627,0.9902,64.0,"(3, 3)",2,13.335367421309153
0.0205,0.998,0.0585,0.9898,32.0,"(3, 3)",2,6.338012305895488
0.0936,0.9785,0.1316,0.9632,16.0,"(3, 3)",2,3.724155350526174
0.0226,0.9974,0.0637,0.9879,64.0,"(1, 1)",2,12.039303628603617
0.0862,0.9821,0.0958,0.9781,32.0,"(1, 1)",2,5.170378402868907
0.1065,0.9812,0.1243,0.974,16.0,"(1, 1)",2,2.80716046889623
0.0837,0.9743,0.1309,0.9705,64.0,"(5, 5)",3,13.252637724081675
0.1734,0.9459,0.1835,0.9477,32.0,"(5, 5)",3,9.54640189409256
0.5601,0.7963,0.5473,0.8049,16.0,"(5, 5)",3,5.161488934357961
0.1149,0.9652,0.1276,0.9632,64.0,"(3, 3)",3,11.938058964411418
0.2698,0.9082,0.2752,0.9115,32.0,"(3, 3)",3,5.971171975135803
0.5722,0.7934,0.5502,0.8122,16.0,"(3, 3)",3,3.7024757862091064
0.2411,0.9209,0.2428,0.9207,64.0,"(1, 1)",3,11.608699719111124
0.3603,0.8815,0.384,0.8696,32.0,"(1, 1)",3,5.263172841072082
0.7128,0.7364,0.7038,0.7449,16.0,"(1, 1)",3,2.9996219277381897
